"id","id_stock","precio","fecha"
1,363,"0","12/07/2022"
2,364,"0","12/07/2022"
3,365,"0","13/07/2022"
4,366,"539","15/07/2022"
5,367,"539","15/07/2022"
6,368,"539","15/07/2022"
7,369,"128","15/07/2022"
8,370,"130","15/07/2022"
9,371,"117","15/07/2022"
10,372,"810","15/07/2022"
11,373,"140","15/07/2022"
12,374,"0","16/07/2022"
13,375,"0","16/07/2022"
14,376,"0","16/07/2022"
15,377,"0","16/07/2022"
16,378,"0","16/07/2022"
17,379,"1750","16/07/2022"
18,380,"600","16/07/2022"
19,381,"50","18/07/2022"
