"id_venta","id_prod"
1,151
2,163
2,162
2,161
3,205
4,215
5,216
6,318
6,168
7,11
8,110
9,166
10,316
12,90
13,200
14,280
15,3
15,306
15,153
16,46
17,41
17,98
19,174
20,205
21,205
22,174
23,338
23,140
24,158
24,46
25,152
26,205
28,334
29,93
30,244
30,11
31,147
31,149
32,38
33,146
34,169
34,318
35,200
36,299
37,29
38,163
39,175
40,252
40,228
41,177
42,281
42,283
43,196
44,166
45,119
46,184
46,363
47,163
48,56
49,46
49,154
50,316
50,184
50,284
51,110
52,114
52,98
53,166
54,54
55,205
56,334
57,23
57,146
58,334
60,199
61,11
62,293
73,97
73,42
73,180
74,188
74,185
74,180
74,11
75,367
75,296
76,166
76,38
77,293
78,334
79,110
80,175
82,205
83,252
83,107
84,296
84,160
85,309
86,179
86,206
86,7
87,47
87,281
92,379
93,364
94,198
95,16
95,323
95,209
96,380
96,165
96,162
97,336
98,379
98,183
99,149
99,294
99,184
99,143
100,293
101,46
102,380
103,310
104,375
105,40
105,2
106,182
107,334
108,371
109,175
109,175
110,335
110,371
111,334
111,156
112,380
113,80
114,363
116,235
116,196
117,154
119,380
120,42
120,45
120,379
121,41
121,168
121,167
122,205
122,383
123,380
124,149
125,380
126,364
127,333
128,293
128,369
129,47
130,380
131,11
132,87
